State,City,Date,Temperature (C),Humidity,Condition,Wind (kph),Rainfall (mm),Visibility (km),Timestamp,Min Temp (C),Max Temp (C),Avg Temp (C),Total Precipitation (mm)
Alabama,Birmingham,2024-09-12,9.8,67,Patchy rain possible,20.5,0.7,10.0,2024-12-11 20:30:04,7.4,13.4,9.8,0.7
Alabama,Birmingham,2024-09-13,10.1,67,Partly cloudy,9.7,0.01,10.0,2024-12-11 20:30:04,5.7,14.6,10.1,0.01
Alabama,Birmingham,2024-09-14,13.1,66,Cloudy,15.8,0.0,10.0,2024-12-11 20:30:04,9.2,17.9,13.1,0.0
Alabama,Birmingham,2024-09-15,13.9,77,Light rain,20.5,1.39,10.0,2024-12-11 20:30:05,11.0,17.8,13.9,1.39
Alabama,Birmingham,2024-09-16,14.0,69,Sunny,9.0,0.0,10.0,2024-12-11 20:30:05,9.7,18.9,14.0,0.0
Alabama,Birmingham,2024-09-17,13.9,67,Sunny,15.1,0.0,10.0,2024-12-11 20:30:05,9.4,19.4,13.9,0.0
Alabama,Birmingham,2024-09-18,14.8,73,Partly cloudy,18.7,0.0,10.0,2024-12-11 20:30:05,10.2,21.1,14.8,0.0
Alabama,Birmingham,2024-09-19,16.1,78,Overcast,22.3,0.0,10.0,2024-12-11 20:30:05,11.4,22.5,16.1,0.0
Alabama,Birmingham,2024-09-20,16.1,76,Patchy rain possible,23.4,0.17,10.0,2024-12-11 20:30:06,12.2,21.4,16.1,0.17
Alabama,Birmingham,2024-09-21,16.2,81,Patchy light rain with thunder,19.4,6.47,9.6,2024-12-11 20:30:06,12.4,21.2,16.2,6.47
Alabama,Birmingham,2024-09-22,15.2,93,Moderate or heavy rain with thunder,16.6,19.26,8.8,2024-12-11 20:30:06,13.7,17.6,15.2,19.26
Alabama,Birmingham,2024-09-23,15.0,92,Light rain shower,8.6,8.64,6.5,2024-12-11 20:30:06,13.6,17.2,15.0,8.64
Alabama,Birmingham,2024-09-24,12.3,79,Patchy rain possible,16.9,1.78,8.3,2024-12-11 20:30:07,11.1,14.0,12.3,1.78
Alabama,Birmingham,2024-09-25,11.4,80,Moderate rain,14.8,7.72,8.1,2024-12-11 20:30:07,9.7,14.1,11.4,7.72
Alabama,Birmingham,2024-09-26,12.5,85,Light rain shower,18.7,8.15,6.5,2024-12-11 20:30:07,10.7,15.5,12.5,8.15
Alabama,Birmingham,2024-09-27,9.0,72,Patchy rain possible,20.2,2.0,9.3,2024-12-11 20:30:07,6.6,12.3,9.0,2.0
Alabama,Birmingham,2024-09-28,9.5,73,Patchy rain possible,13.0,0.52,10.0,2024-12-11 20:30:07,6.9,12.6,9.5,0.52
Alabama,Birmingham,2024-09-29,9.7,77,Light drizzle,27.7,6.02,9.2,2024-12-11 20:30:08,7.8,12.5,9.7,6.02
